Date,Year,Quarter,MonthName,RevenueTarget
2023-01-01,2023,Q1,Jan,19778.35
2023-01-02,2023,Q1,Jan,40537.58
2023-01-03,2023,Q1,Jan,39595.17
2023-01-04,2023,Q1,Jan,39890.28
2023-01-05,2023,Q1,Jan,44571.09
2023-01-06,2023,Q1,Jan,40932.88
2023-01-07,2023,Q1,Jan,18488.18
2023-01-08,2023,Q1,Jan,18057.43
2023-01-09,2023,Q1,Jan,41523.71
2023-01-10,2023,Q1,Jan,40765.63
2023-01-11,2023,Q1,Jan,40821.44
2023-01-12,2023,Q1,Jan,44156.3
2023-01-13,2023,Q1,Jan,41255.24
2023-01-14,2023,Q1,Jan,18182.05
2023-01-15,2023,Q1,Jan,19686.82
2023-01-16,2023,Q1,Jan,43354.79
2023-01-17,2023,Q1,Jan,40978.67
2023-01-18,2023,Q1,Jan,41412.03
2023-01-19,2023,Q1,Jan,44834.41
2023-01-20,2023,Q1,Jan,42324.58
2023-01-21,2023,Q1,Jan,17954.56
2023-01-22,2023,Q1,Jan,19533.85
2023-01-23,2023,Q1,Jan,44602.99
2023-01-24,2023,Q1,Jan,43392.0
2023-01-25,2023,Q1,Jan,40528.83
2023-01-26,2023,Q1,Jan,42123.06
2023-01-27,2023,Q1,Jan,40437.9
2023-01-28,2023,Q1,Jan,19488.81
2023-01-29,2023,Q1,Jan,18327.17
2023-01-30,2023,Q1,Jan,39998.71
2023-01-31,2023,Q1,Jan,43556.69
2023-02-01,2023,Q1,Feb,40943.44
2023-02-02,2023,Q1,Feb,44770.13
2023-02-03,2023,Q1,Feb,42670.11
2023-02-04,2023,Q1,Feb,18954.29
2023-02-05,2023,Q1,Feb,18781.92
2023-02-06,2023,Q1,Feb,42889.59
2023-02-07,2023,Q1,Feb,41781.96
2023-02-08,2023,Q1,Feb,40852.37
2023-02-09,2023,Q1,Feb,41982.14
2023-02-10,2023,Q1,Feb,40417.48
2023-02-11,2023,Q1,Feb,20146.79
2023-02-12,2023,Q1,Feb,18195.1
2023-02-13,2023,Q1,Feb,44545.31
2023-02-14,2023,Q1,Feb,43569.51
2023-02-15,2023,Q1,Feb,44812.89
2023-02-16,2023,Q1,Feb,40370.38
2023-02-17,2023,Q1,Feb,42038.53
2023-02-18,2023,Q1,Feb,18787.07
2023-02-19,2023,Q1,Feb,19977.92
2023-02-20,2023,Q1,Feb,40788.68
2023-02-21,2023,Q1,Feb,45345.39
2023-02-22,2023,Q1,Feb,45228.06
2023-02-23,2023,Q1,Feb,44202.68
2023-02-24,2023,Q1,Feb,45254.82
2023-02-25,2023,Q1,Feb,18675.76
2023-02-26,2023,Q1,Feb,18641.76
2023-02-27,2023,Q1,Feb,44218.92
2023-02-28,2023,Q1,Feb,41326.26
2023-03-01,2023,Q1,Mar,43775.15
2023-03-02,2023,Q1,Mar,44777.62
2023-03-03,2023,Q1,Mar,42681.07
2023-03-04,2023,Q1,Mar,18843.59
2023-03-05,2023,Q1,Mar,19524.91
2023-03-06,2023,Q1,Mar,41627.5
2023-03-07,2023,Q1,Mar,42408.29
2023-03-08,2023,Q1,Mar,42786.44
2023-03-09,2023,Q1,Mar,42747.25
